n=5000, #threads=2, mono_threaded=4.404379ms, 2_threaded=2.012359ms, ratio=0.456900
n=5000, #threads=3, mono_threaded=4.404379ms, 3_threaded=1.386292ms, ratio=0.314753
n=5000, #threads=4, mono_threaded=4.404379ms, 4_threaded=1.349952ms, ratio=0.306502
n=5000, #threads=5, mono_threaded=4.404379ms, 5_threaded=1.444267ms, ratio=0.327916
n=5000, #threads=6, mono_threaded=4.404379ms, 6_threaded=1.501525ms, ratio=0.340916
n=5000, #threads=7, mono_threaded=4.404379ms, 7_threaded=1.612581ms, ratio=0.366131
n=5000, #threads=8, mono_threaded=4.404379ms, 8_threaded=1.644026ms, ratio=0.373271
n=5000, #threads=9, mono_threaded=4.404379ms, 9_threaded=1.719807ms, ratio=0.390477
n=5000, #threads=10, mono_threaded=4.404379ms, 10_threaded=1.684499ms, ratio=0.382460
n=5000, #threads=11, mono_threaded=4.404379ms, 11_threaded=1.705943ms, ratio=0.387329
n=5000, #threads=12, mono_threaded=4.404379ms, 12_threaded=1.79041ms, ratio=0.406507
n=5000, #threads=13, mono_threaded=4.404379ms, 13_threaded=1.882652ms, ratio=0.427450
n=5000, #threads=14, mono_threaded=4.404379ms, 14_threaded=1.861951ms, ratio=0.422750
n=5000, #threads=15, mono_threaded=4.404379ms, 15_threaded=1.791403ms, ratio=0.406732
n=5000, #threads=16, mono_threaded=4.404379ms, 16_threaded=1.889838ms, ratio=0.429082
n=10000, #threads=2, mono_threaded=18.133941ms, 2_threaded=6.492539ms, ratio=0.358032
n=10000, #threads=3, mono_threaded=18.133941ms, 3_threaded=3.988311ms, ratio=0.219936
n=10000, #threads=4, mono_threaded=18.133941ms, 4_threaded=3.517385ms, ratio=0.193967
n=10000, #threads=5, mono_threaded=18.133941ms, 5_threaded=3.528933ms, ratio=0.194604
n=10000, #threads=6, mono_threaded=18.133941ms, 6_threaded=3.635387ms, ratio=0.200474
n=10000, #threads=7, mono_threaded=18.133941ms, 7_threaded=3.768576ms, ratio=0.207819
n=10000, #threads=8, mono_threaded=18.133941ms, 8_threaded=4.139041ms, ratio=0.228248
n=10000, #threads=9, mono_threaded=18.133941ms, 9_threaded=4.701418ms, ratio=0.259261
n=10000, #threads=10, mono_threaded=18.133941ms, 10_threaded=5.185654ms, ratio=0.285964
n=10000, #threads=11, mono_threaded=18.133941ms, 11_threaded=5.616303ms, ratio=0.309712
n=10000, #threads=12, mono_threaded=18.133941ms, 12_threaded=6.122207ms, ratio=0.337610
n=10000, #threads=13, mono_threaded=18.133941ms, 13_threaded=6.184927ms, ratio=0.341069
n=10000, #threads=14, mono_threaded=18.133941ms, 14_threaded=6.889529ms, ratio=0.379925
n=10000, #threads=15, mono_threaded=18.133941ms, 15_threaded=7.267869ms, ratio=0.400788
n=10000, #threads=16, mono_threaded=18.133941ms, 16_threaded=7.296549ms, ratio=0.402370
n=15000, #threads=2, mono_threaded=42.345768ms, 2_threaded=14.196081ms, ratio=0.335242
n=15000, #threads=3, mono_threaded=42.345768ms, 3_threaded=8.298721ms, ratio=0.195975
n=15000, #threads=4, mono_threaded=42.345768ms, 4_threaded=7.043903ms, ratio=0.166343
